tweet_id,text,sentiment,likes,retweets
1000064,via do not recommend worst pathetic #scam,Negative,0,10
1000065,via so happy today superb #love #winning,Positive,27,3
1000066,@USER8827 WAITED FOR HOURS FAILED TERRIBLE #AVOID #FRUSTRATED,Negative,6,6
1000067,VIA LOVING EVERY MOMENT FANTASTIC #JOY,Positive,143,5
1000068,RT loving every moment love,Positive,36,18
1000069,via @user7993 could go either way,Neutral,22,53
1000070,HAVEN'T TRIED IT YET GENERAL #CHECKING,Neutral,164,4
1000071,@user3759 really impressed grateful #winning #bestday 😊😍🙌!!!,Positive,34,5
1000072,some features work some don't sufficient #feedback 🤔😐,Neutral,16,0
1000073,via pure joy cheerful,Positive,47,10
1000074,OUTSTANDING PERFORMANCE GRATEFUL #SUCCESS!!!,Positive,2,4
1000075,via @user4846 best day ever awesome grateful,Positive,119,4
1000076,RT @user1118 tried the new update okay,Neutral,7,10
1000077,via broken on arrival trash disappointed #avoid #scam,Negative,212,4
1000078,RT @user7583 do not recommend worst dreadful terrible #scam,Negative,55,21
1000079,via wasted my money ruined #neveragain,Negative,13,19
1000080,CUSTOMER SERVICE IS AWFUL HATE #SCAM #FAIL,Negative,22,15
1000081,NEITHER GOOD NOR BAD #CHECKING,Neutral,50,11
1000082,RT pathetic excuse horrible worst #frustrated,Negative,4,27
1000083,via waited for hours terrible disgusting trash,Negative,19,3
1000084,RT @USER2465 UNACCEPTABLE BEHAVIOR HORRIBLE TRASH #RANT #NEVERAGAIN!!!,Negative,2,13
1000085,@user8803 so satisfying superb grateful,Positive,56,0
1000086,pathetic excuse trash awful disappointed,Negative,35,3
1000087,RT @USER5767 WAITED FOR HOURS WORST WASTE PATHETIC 😠😤💔,Negative,51,2
1000088,via so satisfying awesome #amazing #love 😊😍🙌!!!,Positive,58,7
1000089,via feeling blessed superb #amazing 😊😍🙌,Positive,138,2
1000090,avoid at all costs horrible #fail,Negative,20,1
1000091,so excited delighted fantastic #grateful #love,Positive,129,31
1000092,via life is beautiful awesome grateful thrilled #winning #success,Positive,14,16
1000093,via really impressed brilliant joy happy,Positive,84,12
1000094,via reading the manual #opinion,Neutral,37,4
1000095,comparing different options common basic 🤔😐,Neutral,4,34
1000096,@user8904 awesome vibes blessed #love 😊😍🙌,Positive,115,15
1000097,RT no response at all hate #frustrated 😠😤💔,Negative,20,6
1000098,RT TOTALLY WORTH IT EXCELLENT HAPPY AWESOME #SUCCESS,Positive,64,34
1000099,RT @user7498 feels like a scam worst,Negative,109,22
1000100,constant crashes worst awful garbage #avoid #terrible 😠😤💔!!!,Negative,51,1
1000101,VIA DEEPLY UNHAPPY RUINED USELESS HATE #FRUSTRATED #BROKEN,Negative,8,34
1000102,via @user9806 constant crashes pathetic angry disgusting!!!,Negative,46,0
1000103,feeling blessed cheerful thrilled great #joy #positive,Positive,5,16
1000104,loving every moment excellent #love #happy 😊😍🙌,Positive,0,2
1000105,RT constant crashes awful #terrible #fail,Negative,39,17
1000106,feels like a scam hate useless angry,Negative,52,3
1000107,waiting for more information usual sufficient #fyi...,Neutral,62,4
1000108,RT worst product ever disgusting #neveragain,Negative,19,20
1000109,via wasted my money awful waste #terrible,Negative,52,28
1000110,RT loving every moment fantastic positive,Positive,53,12
1000111,RT @user8104 top notch quality beautiful cheerful #love #bestday,Positive,4,6
1000112,IT DOES WHAT IT SAYS,Neutral,15,4
1000113,RT fantastic product fantastic joy #happy,Positive,180,7
1000114,RT so satisfying excellent #grateful #success,Positive,111,14
1000115,via can't believe how good happy,Positive,79,10
1000116,RT false advertising waste worst trash #angry #terrible,Negative,43,10
1000117,awesome vibes grateful happy wonderful #winning #bestday,Positive,10,19
1000118,refund requested pathetic ruined #neveragain #terrible,Negative,16,0
1000119,RT BEST DAY EVER GREAT AMAZING JOY,Positive,51,2
1000120,via false advertising pathetic #rant #angry,Negative,141,46
1000121,complete waste hate broken #fail #avoid,Negative,123,6
1000122,pathetic excuse dreadful terrible garbage,Negative,0,39
1000123,via met basic expectations #review,Neutral,27,51
1000124,via @user5809 loving every moment positive 😊😍🙌,Positive,165,28
1000125,via totally useless angry #rant #fail 😠😤💔!!!,Negative,17,7
1000126,RT @user4050 beyond expectations blessed wonderful 😊😍🙌,Positive,95,5
1000127,RT THIS IS WONDERFUL CHEERFUL #LOVE #BESTDAY,Positive,9,12
1000128,RT deeply unhappy failed angry #avoid,Negative,137,17
1000129,RT couldn't be worse disgusting #avoid 😠😤💔,Negative,42,1
1000130,@user1517 tried the new update #checking 🤔😐,Neutral,47,69
1000131,via loving every moment awesome incredible #positive,Positive,7,10
1000132,RT unacceptable behavior ruined worst 😠😤💔,Negative,104,20
1000133,@user8867 absolutely love this joy happy perfect #joy,Positive,59,18
1000134,via so excited fantastic cheerful excellent,Positive,22,5
1000135,@user3436 really impressed brilliant thrilled #blessed #positive 😊😍🙌!!!,Positive,82,24
1000136,@user1834 really frustrated pathetic,Negative,100,36
1000137,via @user7997 medium quality overall #checking,Neutral,35,10
1000138,RT @user1854 grateful for everything incredible joy #happy,Positive,80,15
1000139,VIA @USER2827 BROKEN ON ARRIVAL HORRIBLE PATHETIC BAD #BROKEN 😠😤💔,Negative,60,23
1000140,great customer support perfect #amazing,Positive,110,6
1000141,THIS IS WONDERFUL SUPERB GREAT AWESOME,Positive,23,1
1000142,RT totally recommend brilliant #success #blessed,Positive,43,0
1000143,RT @user5137 still broken waste #angry #fail,Negative,31,11
1000144,via @user7864 got the package today decent #update,Neutral,16,13
1000145,@user4116 horrible service frustrating disgusting angry,Negative,1,0
1000146,via great customer support great excellent delighted #bestday #positive 😊😍🙌,Positive,86,6
1000147,via really frustrated hate ruined garbage #rant #terrible,Negative,6,11
1000148,via @user3427 so angry right now waste,Negative,73,3
1000149,@user6692 great customer support joy,Positive,48,1
1000150,RT TOP NOTCH QUALITY GRATEFUL FANTASTIC INCREDIBLE #GRATEFUL #AMAZING,Positive,2,11
1000151,broken on arrival frustrating,Negative,38,15
1000152,via @user5403 no response at all worst frustrating waste,Negative,64,55
1000153,incredible service delighted!!!,Positive,36,5
1000154,highly recommend excellent amazing!!!,Positive,79,4
1000155,RT @user2180 reading the manual #fyi,Neutral,28,1
1000156,TOTALLY USELESS RUINED 😠😤💔,Negative,1,49
1000157,RT complete waste terrible,Negative,90,17
1000158,depends on your use case,Neutral,26,2
1000159,RT @user9905 deeply unhappy garbage bad angry #broken,Negative,8,4
1000160,@user9381 not sure about this one...,Neutral,39,18
1000161,RT so angry right now useless #avoid,Negative,53,4
1000162,RT @user5617 loving every moment awesome thrilled excellent,Positive,154,20
1000163,via so satisfying happy #love #joy,Positive,40,14
1000164,via haven't tried it yet common basic #update,Neutral,27,4
1000165,@user3421 top notch quality love,Positive,22,21
1000166,RT @user3089 deeply unhappy horrible #avoid #terrible,Negative,0,1
1000167,totally worth it incredible perfect,Positive,2,0
1000168,deeply unhappy waste useless worst,Negative,96,18
1000169,RT SO ANGRY RIGHT NOW AWFUL USELESS FAILED,Negative,32,1
1000170,via pretty standard stuff,Neutral,33,9
1000171,RT COULDN'T BE WORSE WASTE #NEVERAGAIN 😠😤💔,Negative,9,8
1000172,some features work some don't #review,Neutral,25,14
1000173,RT @USER3314 CHECKING THE REVIEWS BASIC 🤔😐,Neutral,50,0
1000174,really impressed fantastic excellent #love,Positive,23,14
1000175,RT BEYOND EXPECTATIONS LOVE BLESSED AWESOME,Positive,34,29
1000176,via terrible experience pathetic garbage #terrible #rant 😠😤💔,Negative,53,2
1000177,RT @user4009 made my day fantastic brilliant #joy,Positive,3,15
1000178,via @user7086 checking the reviews reasonable adequate #checking 🤔😐,Neutral,1,13
1000179,RT @USER9873 SO DISAPPOINTED DREADFUL DISAPPOINTED!!!,Negative,140,12
1000180,so satisfying brilliant positive 😊😍🙌,Positive,24,15
1000181,via @user6843 so happy today thrilled happy beautiful #blessed,Positive,30,11
1000182,via fantastic product wonderful fantastic #blessed #amazing,Positive,141,7
1000183,RT ABSOLUTELY LOVE THIS SUPERB THRILLED HAPPY #LOVE,Positive,162,35
1000184,so excited fantastic #love #positive,Positive,10,1
1000185,beyond expectations perfect #amazing,Positive,5,0
1000186,RT totally useless broken #frustrated #disappointed 😠😤💔!!!,Negative,4,17
1000187,via @user5843 still broken waste awful #disappointed,Negative,3,5
1000188,checking the reviews,Neutral,93,0
1000189,via unacceptable behavior disgusting horrible #broken #fail,Negative,84,4
1000190,RT amazing experience wonderful cheerful #amazing #joy,Positive,6,17
1000191,haven't tried it yet,Neutral,49,31
1000192,RT feeling great superb excellent #bestday #blessed 😊😍🙌,Positive,66,24
1000193,@user7503 constant crashes garbage horrible awful 😠😤💔,Negative,16,2
1000194,ABSOLUTE GARBAGE DREADFUL TRASH,Negative,69,24
1000195,via waiting for more information...,Neutral,232,7
1000196,RT @user1375 outstanding performance incredible thrilled,Positive,23,22
1000197,RT @user2338 totally recommend great,Positive,20,40
1000198,RT @user8021 comparing different options #justgot,Neutral,97,8
1000199,met basic expectations adequate #standard,Neutral,69,21
1000200,avoid at all costs hate waste #neveragain #disappointed,Negative,5,34
1000201,VIA NO RESPONSE AT ALL DISAPPOINTED HATE DISGUSTING #ANGRY,Negative,35,26
1000202,RT @user4074 made my day love delighted fantastic #success #blessed,Positive,19,33
1000203,RT totally useless failed 😠😤💔,Negative,24,0
1000204,absolutely love this blessed cheerful,Positive,117,1
1000205,RT really impressed incredible cheerful perfect,Positive,19,44
1000206,RT TOTALLY WORTH IT BLESSED INCREDIBLE #GRATEFUL #BLESSED,Positive,150,12
1000207,@user8276 okay I guess #fyi,Neutral,49,8
1000208,via @user8693 what a disaster broken useless #rant,Negative,17,5
1000209,@user5333 couldn't be worse worst hate #neveragain,Negative,55,20
1000210,RT @user7134 customer service is awful hate #fail,Negative,78,23
1000211,absolute garbage bad nightmare #neveragain,Negative,4,10
1000212,via outstanding performance incredible fantastic superb #love #bestday 😊😍🙌,Positive,2,11
1000213,@user6282 comparing different options #feedback 🤔😐,Neutral,29,32
1000214,totally recommend fantastic love positive 😊😍🙌,Positive,21,1
1000215,RT totally recommend excellent joy #winning #grateful,Positive,7,21
1000216,RT still broken terrible frustrating,Negative,48,1
1000217,RT @user9097 beyond expectations awesome amazing fantastic #grateful,Positive,4,18
1000218,VIA COMPLETE WASTE HATE PATHETIC,Negative,3,25
1000219,RT fantastic product delighted excellent beautiful #happy,Positive,61,1
1000220,RT fantastic product thrilled positive 😊😍🙌,Positive,4,64
1000221,VIA @USER4554 EXTREMELY POOR QUALITY RUINED #ANGRY #NEVERAGAIN 😠😤💔!!!,Negative,23,6
1000222,RT waited for hours frustrating #broken,Negative,83,44
1000223,via @user5605 meh honestly acceptable #thoughts 🤔😐,Neutral,213,20
1000224,via avoid at all costs bad broken #broken #avoid,Negative,23,1
1000225,so far so good I think acceptable,Neutral,75,12
1000226,via @user9691 perfect in every way cheerful #joy 😊😍🙌,Positive,27,35
1000227,RT @user7089 absolute garbage bad failed,Negative,5,10
1000228,via absolute garbage hate disappointed broken #frustrated,Negative,0,9
1000229,@user2225 comparing different options,Neutral,2,1
1000230,RT totally worth it perfect brilliant,Positive,6,15
1000231,@user1292 complete waste bad disappointed #avoid #neveragain,Negative,68,13
1000232,PATHETIC EXCUSE ANGRY DISGUSTING #FAIL!!!,Negative,163,7
1000233,via @user6131 complete waste angry frustrating #scam 😠😤💔,Negative,16,30
1000234,RT @USER1170 COULDN'T BE WORSE HORRIBLE FAILED #DISAPPOINTED #FAIL,Negative,12,49
1000235,RT no response at all useless bad,Negative,0,52
1000236,RT ABSOLUTELY LOVE THIS HAPPY GRATEFUL AMAZING,Positive,2,33
1000237,FALSE ADVERTISING FRUSTRATING BAD,Negative,37,74
1000238,unacceptable behavior garbage horrible #rant #neveragain,Negative,3,12
1000239,@user4971 pure joy great #grateful,Positive,174,11
1000240,RT @user4541 best day ever thrilled,Positive,49,17
1000241,via fantastic product beautiful #positive #amazing,Positive,30,14
1000242,amazing experience wonderful #success 😊😍🙌,Positive,43,34
1000243,via highly recommend blessed beautiful awesome,Positive,2,4
1000244,VIA READING THE MANUAL OKAY #STANDARD,Neutral,150,33
1000245,via @user5466 really frustrated worst #avoid #rant 😠😤💔,Negative,30,14
1000246,via @user5520 so satisfying brilliant blessed,Positive,16,3
1000247,RT @user1870 haven't tried it yet,Neutral,31,6
1000248,extremely poor quality frustrating,Negative,43,1
1000249,RT @user5718 nothing works frustrating trash broken!!!,Negative,183,64
1000250,via horrible service dreadful trash angry #neveragain #angry,Negative,59,11
1000251,RT just received my order adequate acceptable #review 🤔😐,Neutral,18,25
1000252,via @user1284 absolutely love this wonderful thrilled love #winning,Positive,57,2
1000253,via such a letdown bad disgusting horrible,Negative,120,25
1000254,RT extremely poor quality trash frustrating #broken,Negative,149,19
1000255,HAVEN'T TRIED IT YET ADEQUATE NORMAL #STANDARD,Neutral,47,8
1000256,amazing experience thrilled love,Positive,134,30
1000257,@user6715 really frustrated horrible frustrating #rant #broken,Negative,2,0
1000258,it does what it says moderate,Neutral,23,24
1000259,RT neither good nor bad decent common,Neutral,218,2
1000260,VIA @USER5828 TYPICAL PRODUCT MIDRANGE TYPICAL #INFO 🤔😐,Neutral,45,7
1000261,RT awesome vibes happy #grateful 😊😍🙌,Positive,175,27
1000262,RT MET BASIC EXPECTATIONS SUFFICIENT,Neutral,91,9
1000263,RT pathetic excuse angry,Negative,26,4
1000264,via @user8140 totally worth it awesome grateful #joy,Positive,2,30
1000265,via customer service is awful frustrating 😠😤💔,Negative,83,122
1000266,RT @user8240 constant crashes waste bad #avoid,Negative,284,12
1000267,via super helpful wonderful incredible #bestday 😊😍🙌,Positive,73,43
1000268,BEST DAY EVER AMAZING #WINNING,Positive,94,4
1000269,via life is beautiful superb,Positive,29,2
1000270,via nothing works awful!!!,Negative,154,13
1000271,life is beautiful thrilled perfect happy,Positive,12,16
1000272,RT made my day positive #success #love 😊😍🙌,Positive,48,6
1000273,RT @user2983 five stars thrilled #winning #blessed,Positive,6,16
1000274,RT @user8925 just received my order reasonable fair,Neutral,36,22
1000275,RT got the package today basic #fyi 🤔😐,Neutral,36,28
1000276,via loving every moment excellent #positive #winning 😊😍🙌,Positive,40,12
1000277,VIA DO NOT RECOMMEND FRUSTRATING WORST NIGHTMARE #DISAPPOINTED #BROKEN,Negative,104,7
1000278,totally useless nightmare #fail,Negative,7,0
1000279,RT super helpful delighted #success #grateful,Positive,70,14
1000280,RT do not recommend ruined worst dreadful,Negative,60,3
1000281,via @user8925 some features work some don't #feedback,Neutral,7,0
1000282,@user6703 avoid at all costs ruined dreadful frustrating!!!,Negative,21,13
1000283,absolutely love this excellent joy awesome #blessed #success,Positive,24,8
1000284,RT meh honestly,Neutral,117,6
1000285,@user7132 tried the new update ordinary normal,Neutral,36,22
1000286,fantastic product delighted #love,Positive,25,14
1000287,life is beautiful brilliant #love #bestday,Positive,99,44
1000288,RT loving every moment brilliant,Positive,7,39
1000289,RT so disappointed bad ruined #neveragain,Negative,33,4
1000290,FEELING BLESSED GREAT #BESTDAY 😊😍🙌,Positive,30,58
1000291,via @user9856 typical product,Neutral,33,5
1000292,RT PATHETIC EXCUSE WORST FAILED,Negative,50,4
1000293,RT pretty standard stuff sufficient common #fyi,Neutral,3,2
1000294,RT @USER1973 GRATEFUL FOR EVERYTHING LOVE HAPPY PERFECT #GRATEFUL,Positive,6,2
1000295,pathetic excuse terrible useless trash!!!,Negative,7,15
1000296,CHECKING THE REVIEWS BASIC,Neutral,10,6
1000297,RT @USER1906 PURE JOY JOY WONDERFUL INCREDIBLE #GRATEFUL,Positive,113,9
1000298,via so far so good I think okay #review,Neutral,55,2
1000299,amazing experience delighted 😊😍🙌,Positive,10,0
1000300,@user7767 worst product ever useless,Negative,9,4
1000301,RT @user8185 awesome vibes love #winning #happy 😊😍🙌,Positive,9,1
1000302,totally recommend blessed!!!,Positive,6,9
1000303,via feeling blessed thrilled #amazing #winning,Positive,11,6
1000304,TOTALLY RECOMMEND CHEERFUL #AMAZING,Positive,35,17
1000305,RT wasted my money frustrating awful,Negative,2,24
1000306,feeling great fantastic happy!!!,Positive,49,1
1000307,VIA @USER2384 NOTHING WORKS FRUSTRATING #FRUSTRATED,Negative,103,38
1000308,RT @user4021 absolutely love this superb delighted,Positive,3,4
1000309,RT so happy today wonderful love perfect #joy,Positive,82,20
1000310,feels like a scam terrible horrible waste #terrible,Negative,10,3
1000311,RT reading the manual reasonable,Neutral,23,9
1000312,@user5403 so angry right now angry disappointed worst,Negative,48,6
1000313,@user5333 wasted my money horrible #frustrated!!!,Negative,31,20
1000314,RT terrible experience terrible failed #rant 😠😤💔,Negative,1,4
1000315,via got the package today standard #justgot,Neutral,62,33
1000316,RT totally recommend fantastic #happy #winning,Positive,35,11
1000317,absolute garbage waste #neveragain #fail 😠😤💔,Negative,5,8
1000318,RT @USER8271 GREAT CUSTOMER SUPPORT POSITIVE HAPPY #WINNING #AMAZING 😊😍🙌,Positive,38,4
1000319,RT @user6902 awesome vibes incredible great #bestday #grateful,Positive,15,7
1000320,via @user3458 pure joy amazing love 😊😍🙌,Positive,1,5
1000321,VIA FALSE ADVERTISING RUINED DREADFUL #SCAM #NEVERAGAIN,Negative,11,5
1000322,constant crashes awful,Negative,6,33
1000323,no response at all ruined,Negative,45,17
1000324,via @user6157 really impressed blessed joy perfect 😊😍🙌,Positive,77,10
1000325,@user6935 five stars wonderful great #positive,Positive,4,11
1000326,@user7678 okay I guess,Neutral,44,20
1000327,RT outstanding performance perfect amazing 😊😍🙌,Positive,28,2
1000328,RT @user5315 unacceptable behavior bad #fail,Negative,16,6
1000329,@USER2196 FEELING GREAT HAPPY #HAPPY,Positive,51,12
1000330,RT UNACCEPTABLE BEHAVIOR FAILED DISGUSTING #RANT,Negative,22,64
1000331,awesome vibes amazing awesome happy,Positive,46,4
1000332,five stars blessed thrilled #love #joy!!!,Positive,5,2
1000333,via @user3895 unacceptable behavior nightmare #scam #broken,Negative,14,2
1000334,RT feeling great blessed #amazing,Positive,10,5
1000335,RT @user4451 totally worth it perfect superb #love,Positive,9,34
1000336,RT @user8973 fantastic product wonderful #love,Positive,4,11
1000337,@user2572 so satisfying amazing awesome,Positive,26,60
1000338,RT just received my order average midrange,Neutral,5,7
1000339,via @user2795 awesome vibes delighted cheerful,Positive,174,30
1000340,RT perfect in every way thrilled grateful 😊😍🙌,Positive,84,4
1000341,@user8429 so disappointed useless awful disappointed,Negative,9,16
1000342,top notch quality perfect happy incredible,Positive,132,12
1000343,unacceptable behavior terrible hate useless,Negative,42,4
1000344,RT AMAZING EXPERIENCE EXCELLENT THRILLED #LOVE,Positive,73,3
1000345,via this is wonderful incredible 😊😍🙌,Positive,19,8
1000346,grateful for everything superb beautiful joy #amazing #success,Positive,35,4
1000347,VIA @USER4586 LIFE IS BEAUTIFUL THRILLED AMAZING SUPERB #AMAZING #POSITIVE,Positive,6,14
1000348,life is beautiful delighted perfect,Positive,17,13
1000349,VIA DO NOT RECOMMEND WORST DISGUSTING TRASH #FRUSTRATED,Negative,8,9
1000350,@user7412 great customer support happy positive #grateful,Positive,38,0
1000351,via so happy today thrilled joy #happy,Positive,20,2
1000352,results may vary normal usual 🤔😐,Neutral,3,69
1000353,@user4448 still broken disappointed failed waste 😠😤💔,Negative,19,24
1000354,via @user4532 feeling blessed joy blessed!!!,Positive,14,17
1000355,what a disaster ruined 😠😤💔,Negative,71,13
1000356,so excited joy happy grateful #blessed #bestday,Positive,31,7
1000357,RT best day ever cheerful #bestday #happy!!!,Positive,21,39
1000358,awesome vibes brilliant blessed #bestday!!!,Positive,88,50
1000359,RT totally recommend thrilled superb blessed #blessed,Positive,6,19
1000360,via got the package today mediocre fair,Neutral,139,2
1000361,via beyond expectations beautiful,Positive,3,20
1000362,@user9025 life is beautiful fantastic great 😊😍🙌,Positive,42,27
1000363,RT really impressed cheerful beautiful,Positive,7,23
1000364,RT @user4427 never buying again disappointed #frustrated #avoid,Negative,11,2
1000365,fantastic product joy perfect delighted #success #positive 😊😍🙌,Positive,8,25
1000366,RT @user2990 top notch quality superb,Positive,54,11
1000367,RT so happy today thrilled excellent #positive #success,Positive,22,31
1000368,via feels like a scam frustrating ruined #frustrated,Negative,24,25
1000369,RT false advertising failed ruined frustrating #broken,Negative,28,7
1000370,via amazing experience cheerful #success #happy 😊😍🙌,Positive,31,5
1000371,RT @user8679 life is beautiful brilliant amazing awesome #success #amazing 😊😍🙌,Positive,68,10
1000372,via @user7982 perfect in every way wonderful #happy #winning,Positive,13,34
1000373,RT AVERAGE AT BEST MIDRANGE,Neutral,24,11
1000374,will update later,Neutral,118,14
1000375,RT avoid at all costs frustrating trash broken 😠😤💔,Negative,6,42
1000376,VIA @USER1855 NEVER BUYING AGAIN BAD #FAIL,Negative,49,6
1000377,RT pure joy blessed cheerful,Positive,7,23
1000378,life is beautiful perfect cheerful great #winning #love,Positive,48,11
1000379,RT @user6991 deeply unhappy frustrating horrible waste #scam,Negative,112,23
1000380,via @user1174 totally worth it amazing #winning #bestday,Positive,8,5
1000381,avoid at all costs disappointed horrible #terrible 😠😤💔,Negative,14,20
1000382,@user1498 waiting for more information average #feedback,Neutral,1,12
1000383,RT @user1472 totally recommend thrilled excellent #positive,Positive,71,31
1000384,RT highly recommend great #blessed,Positive,20,25
1000385,broken on arrival dreadful #fail #scam,Negative,5,28
1000386,AWESOME VIBES WONDERFUL CHEERFUL LOVE #BESTDAY #JOY,Positive,6,7
1000387,via five stars great excellent #happy,Positive,79,2
1000388,via @user8639 really impressed blessed #positive,Positive,13,19
1000389,RT beyond expectations awesome,Positive,63,15
1000390,EXCEEDED MY EXPECTATIONS LOVE,Positive,59,11
1000391,via nothing works broken disgusting angry 😠😤💔,Negative,14,6
1000392,RT so excited grateful!!!,Positive,10,35
1000393,RT do not recommend failed dreadful ruined #angry 😠😤💔,Negative,43,7
1000394,via some features work some don't decent #thoughts,Neutral,30,44
1000395,RT so disappointed broken frustrating dreadful #terrible,Negative,8,13
1000396,via beyond expectations perfect wonderful superb #joy #happy!!!,Positive,35,14
1000397,via @user8648 feels like a scam disappointed dreadful #disappointed #angry,Negative,0,30
1000398,via can't believe how good beautiful amazing #bestday #joy,Positive,134,12
1000399,@user7977 loving every moment blessed happy,Positive,59,38
1000400,via absolutely love this cheerful,Positive,61,2
1000401,@user1881 will update later,Neutral,42,13
1000402,via @user3416 false advertising garbage worst 😠😤💔,Negative,27,20
1000403,@USER7131 HIGHLY RECOMMEND BRILLIANT #BLESSED 😊😍🙌!!!,Positive,136,38
1000404,@user2569 feeling blessed superb brilliant thrilled #bestday #success,Positive,29,1
1000405,RT @user1440 incredible service blessed incredible #bestday #positive,Positive,209,27
1000406,met basic expectations usual 🤔😐,Neutral,6,38
1000407,via deeply unhappy terrible,Negative,101,10
1000408,via life is beautiful superb thrilled 😊😍🙌,Positive,44,7
1000409,VIA REALLY IMPRESSED DELIGHTED,Positive,2,6
1000410,terrible experience disappointed 😠😤💔,Negative,81,0
1000411,VIA LOVING EVERY MOMENT INCREDIBLE HAPPY #BESTDAY,Positive,20,7
1000412,RT made my day thrilled perfect #amazing #blessed,Positive,38,37
1000413,RT never buying again disappointed #frustrated #terrible,Negative,21,6
1000414,via @user7050 couldn't be worse terrible horrible #broken,Negative,66,9
1000415,VIA NOTHING WORKS WASTE #ANGRY,Negative,12,9
1000416,so far so good I think #review 🤔😐...,Neutral,7,2
1000417,via five stars thrilled #grateful,Positive,34,8
